H2_MODEL_MINING_CLOSED,bootstrap_ci_high,bootstrap_ci_low,cost_bps_per_active_leg,dates,decision_eligible,evidence_lane,horizon,mean_cross_sectional_spearman,mean_negative_leg_return,mean_net_long_short_spread,mean_positive_leg_return,median_net_long_short_spread,negative_leg_coverage,paper_positions,portfolio,positive_leg_coverage,real_orders
True,-0.0014237369073844077,-0.004255295058635733,25,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.005309005915001555,-0.0012045712252087722,-0.002885226531038118,0.0008817371210209133,0.0,0.8370625358577166,0,top1_bottom1,0.1878944348823867,0
True,-0.004010374219119676,-0.006817232510012508,50,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.005309005915001555,-0.0012045712252087722,-0.005447618957888376,0.0008817371210209133,0.0,0.8370625358577166,0,top1_bottom1,0.1878944348823867,0
True,0.001027092269121239,-0.001575576349048378,0,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.005309005915001555,-0.0015467846211929721,-0.00025617850297931426,0.001290606118213658,0.0,0.9406196213425129,0,top2_bottom2,0.3674698795180723,0
True,0.0003665769220453395,-0.0021662521999852254,5,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.005309005915001555,-0.0015467846211929721,-0.0009102232534096074,0.001290606118213658,0.0,0.9406196213425129,0,top2_bottom2,0.3674698795180723,0
True,-0.00037698841983923985,-0.0028536113663531833,10,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.005309005915001555,-0.0015467846211929721,-0.0015642680038399004,0.001290606118213658,-0.00031308228667634077,0.9406196213425129,0,top2_bottom2,0.3674698795180723,0
True,-0.0009675791544280284,-0.0034322998561332283,15,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.005309005915001555,-0.0015467846211929721,-0.002218312754270193,0.001290606118213658,-0.0009398759388604108,0.9406196213425129,0,top2_bottom2,0.3674698795180723,0
True,-0.002338358953055184,-0.00481716301793026,25,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.005309005915001555,-0.0015467846211929721,-0.0035264022551307777,0.001290606118213658,-0.0022586575478483173,0.9406196213425129,0,top2_bottom2,0.3674698795180723,0
True,-0.005492208325490884,-0.008006669918300778,50,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.005309005915001555,-0.0015467846211929721,-0.006796626007282241,0.001290606118213658,-0.005690280841612652,0.9406196213425129,0,top2_bottom2,0.3674698795180723,0
True,0.001258122377277577,-0.0011468432776536306,0,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.005309005915001555,-0.001572471641435298,6.735742128310534e-05,0.0016398290627184036,0.0,0.9675846242111302,0,top_half_bottom_half,0.438324727481354,0
True,0.0006182268908286762,-0.001854526989202312,5,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.005309005915001555,-0.001572471641435298,-0.0006355972545631373,0.0016398290627184036,-0.0004312873215450144,0.9675846242111302,0,top_half_bottom_half,0.438324727481354,0
True,-0.0001778891940655092,-0.0025570629678585487,10,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.005309005915001555,-0.001572471641435298,-0.0013385519304093796,0.0016398290627184036,-0.001228653654536697,0.9675846242111302,0,top_half_bottom_half,0.438324727481354,0
True,-0.000816917462815236,-0.0032644464283280656,15,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.005309005915001555,-0.001572471641435298,-0.0020415066062556214,0.0016398290627184036,-0.001940508651559423,0.9675846242111302,0,top_half_bottom_half,0.438324727481354,0
True,-0.002228745628742914,-0.004677400391884543,25,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.005309005915001555,-0.001572471641435298,-0.0034474159579481055,0.0016398290627184036,-0.003414899161535836,0.9675846242111302,0,top_half_bottom_half,0.438324727481354,0
True,-0.0057354645247410215,-0.008195250651189165,50,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.005309005915001555,-0.001572471641435298,-0.006962189337179316,0.0016398290627184036,-0.006925177990679952,0.9675846242111302,0,top_half_bottom_half,0.438324727481354,0
